features,run_id,MAE,DenormMAE,MSE,DenormMSE,RMSE,DenormRMSE
occrate_avgocc_coursenumber_dow_studyarea,0,0.016831,2.667592,0.002324,59.072468,0.021359,3.385158
occrate_avgocc_coursenumber_dow_studyarea,1,0.016025,2.542516,0.00226,57.836575,0.020554,3.259438
occrate_avgocc_coursenumber_dow_studyarea,2,0.016447,2.61171,0.002243,57.389027,0.020994,3.332307
occrate_avgocc_coursenumber_dow_studyarea,3,0.015545,2.466295,0.002131,54.40128,0.020092,3.187275
occrate_avgocc_coursenumber_dow_studyarea,4,0.017168,2.726136,0.002543,65.135605,0.022009,3.492878
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled,0,0.016005,2.544113,0.002163,55.629547,0.020622,3.278621
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled,1,0.015855,2.520074,0.00219,56.212185,0.020284,3.224008
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled,2,0.016468,2.62266,0.00241,62.210094,0.021439,3.41307
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled,3,0.015358,2.438615,0.00209,53.543785,0.019689,3.127108
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled,4,0.016146,2.56547,0.002342,60.070713,0.020856,3.313804
