in_support_count,out_support_count,sensor_one_support_count,sensor_two_support_count,room_id,door_id,event_type,datetime
0,4,25,25,0,1,0,2024-04-08 16:15:50
0,8,29,26,0,0,0,2024-04-08 16:15:51
0,9,26,28,0,1,0,2024-04-08 16:15:52
0,11,24,28,0,1,0,2024-04-08 16:15:55
0,19,104,108,0,0,0,2024-04-08 16:15:58
0,7,48,46,0,0,0,2024-04-08 16:16:11
0,7,95,84,0,0,0,2024-04-08 16:16:19
0,5,107,103,0,1,0,2024-04-08 16:16:31
0,21,28,38,0,0,0,2024-04-08 16:16:32
0,6,39,36,0,0,0,2024-04-08 16:16:33
0,5,45,35,0,1,0,2024-04-08 16:16:36
0,7,23,30,0,1,0,2024-04-08 16:16:38
0,4,34,35,0,1,0,2024-04-08 16:16:39
0,11,62,60,0,0,0,2024-04-08 16:17:39
26,0,51,33,0,0,1,2024-04-08 16:48:31
0,15,155,135,0,0,0,2024-04-08 16:48:38
6,0,31,30,0,0,1,2024-04-08 16:48:46
11,0,24,22,0,0,1,2024-04-08 16:56:41
13,0,57,53,0,0,1,2024-04-08 17:11:33
0,4,25,25,0,0,0,2024-04-08 17:12:07
